,Percentile,Cutoff,Accuracy,ErrorRate,Precision,Recall,FPR,f1Score
25,25.0,25.0,0.5518867924528302,0.4481132075471698,0.58,0.5225225225225225,0.4158415841584159,0.5497630331753554
26,26.0,26.0,0.5566037735849056,0.44339622641509435,0.5894736842105263,0.5045045045045045,0.38613861386138615,0.5436893203883496
27,27.0,27.0,0.5518867924528302,0.4481132075471698,0.5851063829787234,0.4954954954954955,0.38613861386138615,0.5365853658536586
28,28.0,28.0,0.5471698113207547,0.4528301886792453,0.5806451612903226,0.4864864864864865,0.38613861386138615,0.5294117647058824
29,29.0,29.0,0.5471698113207547,0.4528301886792453,0.5806451612903226,0.4864864864864865,0.38613861386138615,0.5294117647058824
30,30.0,30.0,0.5471698113207547,0.4528301886792453,0.5842696629213483,0.46846846846846846,0.36633663366336633,0.52
31,31.0,31.0,0.5566037735849056,0.44339622641509435,0.6,0.4594594594594595,0.3366336633663366,0.5204081632653061
32,32.0,32.0,0.5518867924528302,0.4481132075471698,0.6,0.43243243243243246,0.3168316831683168,0.5026178010471204
33,33.0,33.0,0.5566037735849056,0.44339622641509435,0.6103896103896104,0.42342342342342343,0.29702970297029707,0.5
34,34.0,34.0,0.5518867924528302,0.4481132075471698,0.6081081081081081,0.40540540540540543,0.28712871287128716,0.48648648648648646
35,35.0,35.0,0.5754716981132075,0.42452830188679247,0.6521739130434783,0.40540540540540543,0.2376237623762376,0.5
36,36.0,36.0,0.5707547169811321,0.42924528301886794,0.6470588235294118,0.3963963963963964,0.2376237623762376,0.4916201117318436
37,37.0,37.0,0.5518867924528302,0.4481132075471698,0.625,0.36036036036036034,0.2376237623762376,0.45714285714285713
38,38.0,38.0,0.5471698113207547,0.4528301886792453,0.6229508196721312,0.34234234234234234,0.2277227722772277,0.441860465116279
39,39.0,39.0,0.5518867924528302,0.4481132075471698,0.6379310344827587,0.3333333333333333,0.20792079207920788,0.43786982248520717
40,40.0,40.0,0.5471698113207547,0.4528301886792453,0.6363636363636364,0.3153153153153153,0.19801980198019797,0.4216867469879518
41,41.0,41.0,0.5471698113207547,0.4528301886792453,0.6363636363636364,0.3153153153153153,0.19801980198019797,0.4216867469879518
42,42.0,42.0,0.5424528301886793,0.45754716981132076,0.6296296296296297,0.3063063063063063,0.19801980198019797,0.4121212121212121
43,43.0,43.0,0.5377358490566038,0.46226415094339623,0.6226415094339622,0.2972972972972973,0.19801980198019797,0.4024390243902439
